,answer
283168,yes
367229,white
96619,yes
120949,no
172447,yes
342464,yes
103471,yes
169876,hand
314064,no
50943,no
252462,white
300382,no
301301,broccoli
218887,no
294822,yes
331106,bag
246796,gas
180762,no
33797,7
54396,clothes
161150,2
91774,yes
269813,yes
144495,frisbee
360711,man
117858,no
92642,yes
58962,11
283519,male
5992,bat
175701,no
370713,yes
371640,green
353606,yes
345243,controller
163254,no
57897,passenger
25661,no
381909,frisbee
298839,no
111206,girl
78994,surfboards
129023,cotton
249715,white
353462,2
198946,skateboarding
326291,left
238894,no
296792,shirt
97842,trees
323041,blue
148728,3
115578,1
171060,horses
190832,1
307974,0
165704,birthday
348978,1
105216,outside
175823,2
183783,yes
359959,sunny
63654,no
330718,yes
61102,green
237450,giraffe
386671,2
38838,watch
310470,2
68788,no
310442,yes
338924,laptop
240905,birthday
48800,yes
283887,usa
220525,all
156704,backpack
176165,yes
30963,no
335626,yes
276634,yes
400,no
139616,desk
44216,man
231428,no
120427,yes
116031,yes
22536,no
211552,yes
44875,tile
51281,yes
374919,1
306203,spring
351988,yes
356050,cheese
306724,no
157958,yes
181387,yes
9659,no
167690,no
23286,no
81295,yes
219829,1
231937,yes
219377,yes
121474,yes
248104,toilet
81470,camera
67290,yes
206356,tennis
306133,no
66636,car
312500,no
205448,water
101682,no
188126,1
214755,boat
363190,front
315028,yes
304028,white
320428,yes
225776,no
325372,white
199185,yes
64164,camera
193642,yes
301682,yes
237000,blanket
312529,no
201633,hot
306268,yes
151868,yes
236031,no
256164,1
82814,oak
283298,2
165453,no
123689,woman
79713,blue
310821,2
352779,rope
5042,drinking
340232,1
235739,yes
360257,no
38204,table
291545,water
210195,red and black
170426,yes
159584,yes
30097,0
248389,no
68511,yes
240289,no
124222,soccer
175557,yes
355703,no
191055,18
345651,sink
140966,1
160597,yes
386950,bicycle
360454,no
313066,united states
221382,passenger
316080,background
386874,pasta
346891,yes
210153,0
186743,yes
56077,yes
132557,no
180071,no
349487,yes
11607,yes
36799,yes
57007,2
371296,standing
223740,mcdonald
383037,no
37875,yes
17664,yes
367629,no
183647,floor
257499,yes
31290,no
38668,stop
314275,no
151811,car
316084,no
307510,3
225905,no
373187,red
382008,person
286972,frisbee
237558,red
141575,skiing
15276,no
182094,yes
141788,yes
80255,delta
151862,yes
27166,right
311758,baseball
114436,no
284438,on wall
17720,brown
262908,1
386020,no
81013,black
321514,glass
330457,yes
346784,yes
238057,yes
367204,scissors
117319,1
368757,no
96792,yes
163774,soda
385024,no
260893,wood
295818,old
302960,blender
19835,motorcycle
310292,yes
228778,white
323280,eating
167390,1
224548,no
118373,no
25002,yes
362835,no
149341,yes
132144,yes
238964,yes
192295,yes
336044,plane
331535,yes
101774,red
43536,no
2545,yes
269147,yes
55944,skateboarding
361503,3
27129,brushing teeth
275530,yes
379201,2
361477,surfing
147073,soup
380817,carrot
220650,yes
284757,lettuce
16817,green
4022,yes
152764,2
285368,1
179880,wii
308994,1
304754,orange
241976,glasses
86822,no
357802,passenger
113452,red
301215,no
322420,yes
83307,cat
78069,many
369666,bird
71766,yes
121256,no
272699,photographer
383802,no
326080,ladder
293907,no
122558,grass
140878,boy
339641,left
41071,rug
360637,horses
191034,nothing
120518,1
291787,green
321848,yes
4021,yes
380346,14
271087,red
4252,male
109724,0
144367,nothing
370770,black
161997,black
53177,yes
335556,kitchen
226476,7
198652,pepperoni
374984,no
189482,2
388212,blue
286765,30
138403,no
200580,england
310672,no
376847,restaurant
266512,no
310629,baseball
131204,yes
59296,yes
71853,yes
359899,taking off
177600,no
105567,no
257742,right
218093,no
121010,bat
139569,night
79197,yes
3815,no
6897,2
34678,1
328589,black
126862,checkered
122682,frisbee
285604,eating
203332,none
274660,yes
40227,horses
138560,no
88365,yes
303907,blue
123240,yes
40644,sink
163756,wii
251625,snowboarding
32974,spoon
255405,2
380447,yes
354690,phone
293193,woman
387973,red
190254,pork
222657,planes
268747,black
310840,yes
260773,grass
54632,2
178949,no
111294,no
207962,store
122181,no
26865,no
86073,blue
29753,gray
168453,none
385771,cat
308591,yes
41489,suitcases
127308,no
107132,no
236463,yes
84368,behind
114332,0
177399,no
157147,child
66117,flip flops
352461,yes
239603,2
279160,no
185339,black
235348,table
37675,no
271472,nothing
235973,white
9711,yes
344108,no
204547,trees
111451,no
17519,no
295390,yes
218137,2
55522,table
130273,tile
93983,yes
367889,no
266766,blue
114644,plate
218867,no
17481,yes
247094,tennis
228799,frisbee
305759,7
308169,concrete
246266,flower
87670,no
51333,yes
158751,pepsi
261808,yes
355947,nothing
349347,no
57958,yes
84996,france
177339,no
349228,no
200841,oak
31884,no
16953,no
355105,yes
316155,orange
180870,stop
91060,yes
373245,ocean
108503,2
326611,black
248345,3
302059,yes
374188,white
199983,red
304977,no
297630,yes
342088,black
113644,no
14028,female
276439,no
367307,clear
17737,no
186071,no
230529,no
219260,yes
95973,flowers
187512,ball
195228,orange
100171,big
124356,yes
362432,pizza
16444,red
361614,yes
18230,100
29351,yes
279825,cotton
302931,2
59698,yes
91690,apples
356324,0
301960,yes
74322,big
73940,smoke
107699,wii
292341,yes
328433,4
78334,no
297996,flowers
175105,yes
173786,no
273848,yes
111226,wood
49198,yes
183355,yes
366789,no
334627,3
249214,baseball
33225,no
309318,sheep
329887,yes
160337,no
255815,yes
266230,water
145675,no
24005,camera
223448,3
104680,yes
325365,plane
193088,cumulus
69312,no
335227,yes
190467,talking
217358,no
334025,6
10062,white
290417,overcast
284080,yes
172325,no
252024,no
57863,4
107458,yes
53680,banana
126395,3
72057,wine
171443,yes
199961,no
346800,blue
233835,nothing
186387,no
179522,no
2705,no
227265,green
95744,yes
190322,white
185205,no
386114,purse
372526,white
262018,no
93368,yes
384842,2
218315,black
70159,horses
74422,yellow
215303,no
211649,cloth
287435,no
361054,tv
61880,outside
168881,sandwich
326708,yes
343953,no
370908,english
154441,yes
333810,no
46736,2
339984,6
2771,no
207455,2
69917,no
13199,yes
34824,3
153689,rural
272778,square
114394,gray
84223,hair
351356,yes
132580,no
356640,no
320331,man
143383,4
341575,yes
148123,no
364621,jeans
236762,yes
41084,no
219818,10
41296,black
220532,white
68506,motorcycles
183768,red
350410,no
43656,no
365848,beer
49017,sunny
299248,yes
209303,white
265305,yes
115482,wii controller
344230,tennis court
287610,1
221138,no
135013,no
75484,3
189309,cow
142323,3
278446,2
378086,brown
191428,yes
155568,brown
148681,no
76280,no
149426,3
35134,watching tv
358786,black
188775,jeans
263198,blue
142235,no
132285,catcher
200910,2
186899,no
377138,black
262066,yes
23779,tennis racket
302060,dinner
11986,standing
358224,no
212832,no
178347,no
1201,yes
284753,salad
183302,yes
7220,no
157379,yes
128423,runway
355776,skateboarding
259537,0
100788,20
359076,6
43455,no
379411,no
258105,no
305929,yes
3305,yes
282004,no
141231,no
133460,3
265452,3
40555,no
152432,bed
230743,1
49560,no
263646,toilet paper
131979,elephant
162970,red
320353,2
320502,coffee
179760,no
208864,birthday
238820,no
348342,skiing
67267,5
45019,3
53429,no
238786,no
205815,yes
98023,carrot
77530,3
345245,yes
114854,chef
175009,3
374347,1
146473,swan
218292,baby
205648,no
130517,lamp
77692,yes
232533,bedroom
318635,no
306122,white
32342,purple
80777,gray
106629,no
47012,yes
318070,no
348245,boat
243080,yes
105804,plastic
138526,no
93544,yes
20398,yes
305506,no
178461,no
162190,gray
78782,no
305037,no
33628,30
204582,yes
250686,no
27779,blonde
175348,no
334424,yes
240344,river
333077,yes
31339,no
150253,0
20973,taking picture
180828,kitchen
34776,no
169035,no
44114,7
23253,orange
64826,no
284207,yes
239565,living room
116394,plate
142767,1
3524,no
210912,silver
66480,no
196450,hot dogs
307075,no
387470,black
229260,no
325299,3
216052,yes
136838,no
63120,brown
173444,yes
339337,yes
285386,yes
75431,clear
322213,very tall
237555,yes
17037,yes
120696,35
174864,no
350635,6
72798,yes
334981,brown
298659,cloudy
212707,van
378530,no
285111,no
90071,cotton
129655,yes
253409,no
309040,bathroom
201883,yes
265401,green
259928,no
47081,tomatoes
226808,yes
20814,stripes
359176,sheep
176431,no
137627,seagull
151387,no
43304,wii
220999,green
126857,yes
80793,yes
190353,skateboard
2667,tennis
370864,bowl
136900,cutting board
129880,smoke
153822,yes
10816,outdoors
265494,2
233212,right
298060,yes
250456,white
154146,no
170200,white
90173,yes
47546,no
174853,flying kite
103975,yes
69073,flowers
57242,plate
49808,kitchen
188413,tan
377891,yes
201403,bus
12275,no
111016,umbrella
377514,yes
299352,stop
316596,yes
30892,tile
163697,4
29437,no
145972,brown
112665,no
173161,no
46074,no
7689,0
308970,yes
189214,no
301866,dog
121658,no
107689,wedding
21872,yes
138270,yellow
28038,yes
260183,1
179337,twin
236305,no
366410,no
212268,2
284279,no
309671,2
72680,yes
260789,6
123833,park
66839,living room
155456,yes
245713,modern
290251,no
57222,frisbee
117989,0
15799,no
293591,checkered
126971,yes
371543,sink
328918,yes
95180,4
111828,people
194335,blue
114631,yes
249269,0
292538,bike
301073,no
459,yes
52488,2
324145,yes
290161,yes
374917,2
267788,no
126240,chocolate
312970,6
273930,2
348098,yes
371004,plastic
337034,bread
328099,yes
371589,no
2604,boat
299605,yellow
334845,no
186515,yes
100045,cotton
335595,yes
166426,blue
39152,yes
152274,0
74721,no
167298,yes
120000,baby
225232,2
372611,2 feet
11011,3
331528,bear
347592,standing
127415,yes
121203,0
94990,hot
327663,1
129444,10
349870,baseball
35542,yes
325748,summer
19219,bus
313835,no
40829,yes
238947,2
370005,yes
305620,on building
72181,leaves
381390,2
275082,clear
91303,tv
144890,brown
266636,no
230584,daisy
259345,blue
353639,no
206301,baseball
21458,tomato
125271,yes
169182,yes
287343,no
23813,yes
119588,tv
41233,yes
209295,2
1488,transportation
260925,1
223361,yes
200221,1
367259,yes
254426,yes
85231,ramp
259151,no
347620,1
141437,yes
110831,paint
266459,truck
317083,yellow
670,red
79106,yes
240419,truck
113638,yes
286401,dinner
303231,2
119704,yes
310779,no
223881,carrot
287071,dell
346146,no
25889,no
360759,tennis
89574,no
330196,black
87860,yes
364869,sneakers
217303,2
319973,asphalt
228063,no
265472,no
126186,1
244575,watch
113752,steel
340116,kite
6129,sunny
240560,yes
14709,remote
23630,yes
251744,blue and white
248733,1
350247,4
280243,bathroom
311239,pepperoni
359948,none
129072,silver
201262,nike
294913,1
82625,no
7092,7
230628,green
110248,fedex
123039,no
31734,stone
264535,no
336629,yes
381612,morning
103387,yes
378463,black
367021,bat
240557,fast
370585,no
243308,chicken
258452,yes
100534,no
248406,black
153721,1
234094,daytime
344184,yes
356078,0
257220,sunny
101149,none
355678,1
149722,green
264748,no
140552,left
371500,yes
292067,0
378838,7
271770,milk
62365,yellow
99247,eating
256592,wii
298412,no
202036,chair
7194,nothing
341993,no
349177,no
130957,blue
118789,christmas
335891,no
30438,yes
107692,white
372981,3
232408,water
139872,3
66645,talking
334736,no
309653,black and white
323926,silver
276424,no
283859,7
233411,no
10914,blue
124180,no
216355,green
202893,2
189625,yes
373808,phone
256775,no
318875,4
150762,water
179822,none
33745,3
325363,yes
290128,yes
359614,yes
382328,blonde
223688,2
284315,brown
45884,no
122464,yes
268846,no
186663,3
361770,stone
18701,no
163014,white
46186,wet
305609,no
141145,3
280138,yes
30906,yes
268773,yes
242233,oven
345954,1
62693,plastic
283116,3
38350,yes
142250,yes
281350,no
67584,nothing
104432,woman
198407,motorcycle
310024,orange
114190,2
325664,no
32122,blinds
294005,1
292249,donuts
228935,yes
358715,50
129561,wine glass
275088,yes
355537,no
346333,no
364316,1
185510,zoo
203820,no
326194,beach
283715,soccer
304321,yes
209990,no
375459,yes
330213,yes
289851,no
239390,skiing
383499,yes
32369,bathroom
145114,bow
207530,no
358570,no
174756,1
268791,no
291769,no
254228,no
93625,donut
326413,no
124551,yes
162390,yes
144273,1
221720,yes
181123,phone
718,2
224527,no
4404,yes
156233,no
89302,yes
55197,electricity
273289,no
96466,lab
179981,camera
280286,yes
341581,curtain
356333,5
144623,no
46328,stop
141885,flowers
241009,baseball
297875,no
112447,white
372472,no
184174,no
37718,no
58817,yes
108339,flowers
297700,yes
228122,picture
150945,no
284652,surfboard
81191,no
65868,gray
36853,white
194312,yes
193901,white
228188,no
248836,yes
152301,yes
21140,yes
116193,yes
96586,suit
116095,white
375730,scissors
102073,window
157177,no
150654,baseball
376365,trees
184879,no
272475,concrete
355298,yes
379517,no
191532,yes
30320,no
30386,1
318330,man
170042,yes
286570,remote
110037,no
98042,green
24407,standing
121793,yes
2381,yes
37119,no
250221,white
314283,no
346315,green
128697,0
312648,yes
17919,2
117524,bears
222868,yes
323112,yes
99975,catching
176956,standing
100033,sun
310105,color
32541,3
269634,yes
252204,yes
370213,cows
319843,1
342869,4
338052,noon
376655,sky
199942,4
72971,yes
205618,4
134752,no
50987,no
108629,right
118008,4
2338,building
317007,metal
195344,yes
178190,yellow
253664,1
384114,no
46755,purple
220539,no
219064,1
288328,1
149461,0
26524,tree
51062,8
184214,no
313312,yes
92125,right
104468,no
147431,yes
23385,yes
322427,no
301226,3
383962,handle
345216,yes
8868,2
15786,bathroom
49275,black
275250,black
250331,winter
12476,hat
167391,unknown
263645,3
20418,shadow
229037,person
234578,lake
387340,blue
310338,no
4079,white
63384,6
99996,no
13647,2
334365,5
26244,no
350884,yes
354539,no
349320,no
159623,no
161436,yes
312550,red
167357,broccoli
197649,no
226576,catcher
180012,yes
261111,yes
320068,no
154914,eating
351507,no
227888,black
196214,no
284759,no
250923,no
311676,yes
242766,none
33992,3
94131,black
132136,2
161529,no
240550,yes
93543,collar
339406,no
345416,1
224143,yes
300952,4
100160,yes
267388,yes
10846,2
81805,blue
294194,no
307451,yes
92803,no
164063,no
279542,talking
300147,no
343206,seagulls
378562,yes
302095,2
203732,beach
274185,10
136033,no
10422,3
34853,no
314723,cake
2952,yes
266828,white
282432,2
71572,knife
88978,bathroom
229153,yes
83032,yes
177360,yes
94875,yes
345663,foil
111443,yes
182219,yes
126335,blue
48895,rose
25572,pink
256129,no
11765,no
267647,wine glass
273376,yes
336118,0
272133,pine
353218,black
72946,bear
325598,woman
38466,3
141407,3
367363,blue
360697,bananas
48536,yes
246656,yes
2798,gray
207233,yes
275996,no
176737,umbrella
284540,wooden
204973,right
326482,yes
239480,square
268307,yes
254630,no
75509,floor
259121,yes
39992,pan
375866,4
81367,broccoli
246329,no
72290,pie
79081,yes
229493,yes
350459,no
295957,pasta
25518,skateboarding
300526,clock
19852,1
169034,phone
241902,black
30726,no
175097,no
267744,no
332914,yes
33890,no
81802,green
267063,3
339755,orange
152156,gray
183620,stone
43090,banana
97065,no
268234,no
345488,yes
349519,no
344791,bathroom
130162,surfboard
178574,passenger
369714,train station
134877,red and green
192866,stop
372710,nothing
125522,no
98468,batter
138038,cold
131826,2
364863,no
92527,office
328272,no
381353,yes
153422,yes
64848,football
128812,zebra
334820,2
358347,tennis
134339,30
208604,1
177276,no
50556,yes
99154,yes
257526,cake
105701,bracelet
223282,no
288726,on left
182495,yes
249041,yes
353260,yellow
178689,yes
359381,yes
4872,no
218974,4
232885,no
64863,yes
219988,5
228880,east
352583,brown
276897,newspaper
216650,yes
276335,no
378918,white
272366,yes
38614,1
316318,blue
116078,5
59078,no
236409,2
84126,6
66201,11
56256,no
59548,yes
138099,no
314735,food
148907,surfboard
185,3
207467,black
57388,top
358143,yes
81187,no
303723,no
193104,4
134287,yes
330291,1
302709,no
184370,yes
115891,short
199449,no
273742,banana
387217,desktop
252765,no
184676,gray
369535,cat
166907,no
283444,field
174229,yes
221336,no
237952,pine
93557,football
267016,boston
44815,yes
158528,white
221818,yes
191669,yes
378250,blue
208405,no
186279,no
323310,no
236399,wall
159696,red and white
34323,no
321419,spoon
67423,umbrella
252701,yes
258494,0
292949,yes
56085,no
118129,yes
142073,china
306687,no
50673,yes
96317,no
119694,umbrella
157099,no
200570,tan
309847,white
229212,straight
326955,painting
158776,yes
128800,no
295345,no
33668,olives
126853,pizza
29181,male
259780,white
254587,4
50404,green
63061,river
255086,yes
353966,yes
357066,yes
211673,yes
197980,yes
295094,yes
296597,yes
296205,no
174208,yes
150120,no
175256,yes
150582,talking
158017,restaurant
271279,frisbee
372368,car
325187,yes
385752,green
176365,black
161846,green
194196,2
307472,yes
153311,yes
344369,no
337586,no
314594,no
1519,yellow
287114,parking meter
2236,plane
380136,yes
275901,55
295938,fan
337301,yes
385688,yes
91169,14
127592,food
66462,water
160088,yes
25120,yellow
307431,no
57544,skateboarding
75963,nowhere
161608,no
227729,yes
300284,kite
364157,no
382446,yellow
139917,12
13022,small
299920,15
322293,jet
340844,tennis
199077,yes
177434,yes
257770,no
83173,down
372820,black and yellow
281818,no
18352,birthday
150238,2
382136,rainbow
140016,surfing
382827,no
327229,no
332378,yes
370800,no
148286,elephant
98824,desk
27769,no
132535,bathroom
62378,nowhere
109692,yes
347735,no
224897,yes
154047,zoo
152138,0
355563,clock
78253,black
302893,3
207025,2
374711,no
94298,cold
289097,baseball
15605,1
363119,yes
145403,no
158154,white
259129,blue
319309,3
65481,purple
157447,0
5896,little
299627,eating
213186,green
265556,girl
188072,1
38390,2
153087,no
73478,no
48896,right
46342,no
203725,no
179057,no
199097,yes
379573,black
356938,broccoli
359396,no
148557,13
307634,no
311800,table
337199,white
213333,standing
305941,art
135245,man
79732,yes
133885,pineapple
82734,scissors
351381,white
343176,yes
52520,women
2716,no
366189,no
335165,no
295059,no
226155,white and blue
277991,not possible
364607,carrots
140957,no
346434,no
251543,1
327585,yes
10462,yes
138603,yes
359082,carrot
42588,yes
259986,yes
24239,no
245774,black
302873,olives
30815,1
87127,yes
31214,left
71521,yes
49064,yes
158126,grass
384683,no
258853,palm
234595,no
236528,green
85935,6
368036,no
174992,up
102773,1
190311,baseball
318487,blue
302632,cold
316342,yes
69983,yes
65173,2
183798,people
173959,hat
170216,white and red
366270,0
460,teddy bears
194455,3
163260,yes
73504,5
289648,umbrella
311749,yes
169717,black and white
192117,no
186669,snowboarding
187565,2
158161,yes
372815,people
125075,brown
249254,yes
317833,1
192307,2
48987,church
164462,cloudy
14874,2
196484,train
205124,no
345409,night
214316,glass
40891,1
157626,tomato
94746,yes
362424,pink
259580,no
387589,no
42552,africa
292585,baby
72233,yes
178032,no
116814,summer
242029,blue
360725,giants
333064,chinese
292908,broccoli
22662,yes
206077,1
289716,yes
121833,granite
229898,birthday
225866,gray
365363,blue
67277,yes
105028,bear
220219,2
54135,house
174487,no
257787,metal
310033,yes
269007,yes
340291,skis
210978,no
225515,yes
235599,white
322515,no
240328,white
133328,yes
280224,van
205086,no
183493,no
21411,broccoli
194927,yes
270724,tennis
211543,hand
293003,red
216661,no
42228,yes
232788,blue
336526,yes
252317,1
365557,yes
19780,no
205196,plate
290181,no
170640,yes
107264,yes
243241,no
164449,yes
106429,man
277009,surfing
217575,1
308257,no
5929,no
339927,grass
366763,1
88542,20
222652,1
58102,2
37929,yes
129601,laptop
76903,no
76613,yes
267304,8
381112,0
213201,double decker
328429,yes
380037,van
280904,yes
209106,no
169656,water
341638,leather
333946,yes
102814,yes
327625,flowers
340121,yes
224554,t
366117,no
386537,sand
233135,yes
242152,no
242477,no
18124,2
323104,apple
205128,5
144203,tea
312165,50
166781,keyboard
263714,green
78164,2
195960,surfing
371464,yes
231250,yes
325774,no
113374,yes
298864,standing
28264,red and white
1543,green
318538,yes
226587,green
52444,1
197314,1
16051,yes
50931,no
163572,no
163750,hot dogs
101935,no
135776,7
170772,38
319068,no
372168,yes
359815,broccoli
381654,new
269568,red and white
100948,man
301082,yes
337030,no
218182,no
139707,no
42503,no
128159,no
37744,no
88329,black
181375,yes
376887,no
303430,red
92336,elephant
9883,no
266799,no
269921,no
373617,1
248173,10
318842,yes
50507,8
152439,no
113525,bus
178653,no
33421,no
48691,umbrella
296302,pepper
26539,snow
5950,no
233199,yes
198580,yes
363864,no
85302,no
299481,broccoli
199920,yes
112031,no
79388,no
229844,no
281003,black and white
27549,yes
156631,yes
143571,no
226134,4
137074,stripes
361540,3
87628,yes
149900,yes
385899,fence
304421,middle
196899,no
80019,yes
374990,17
140815,1
279488,yes
199814,20
173815,yes
45011,no
138638,no
199462,gray
82518,yes
54051,brown
321314,yes
198149,river
61895,no
15644,green
185801,no
299304,yes
83449,yes
321382,house
243899,white
50423,5
31804,brown
177644,yes
39407,winter
76715,orange
193768,cloudy
291243,frisbee
171659,motorcycle
262097,clear
100844,no
311775,pizza
367640,people
334454,no
301833,no
6656,1
63189,yes
342916,sneakers
134943,no
367273,14
262949,yes
246901,no
241870,2
11935,purple
369592,yes
240484,5
266518,2
285544,2
31182,0
293329,black
373259,pink
202300,yes
111066,yes
96826,pizza
56493,25
386823,fork
19981,no
48364,yes
330571,yes
193714,yellow
45365,no
358328,cutting board
240146,bar
288765,yes
9551,summer
91208,yes
204530,no
332739,no
273367,yes
175068,no
211412,silver
6166,5
210812,work
196747,yes
15042,2
199393,fire hydrant
175525,1
342812,yes
105001,lemon
155085,yes
238727,brick
255755,bat
51787,yes
42657,broccoli
66366,nothing
355813,house
384789,no
35867,no
116587,yes
257420,2
237761,yes
56735,yes
326577,boating
295339,silver
335080,1
262062,no
115622,yes
126884,white
334648,wii remote
353459,bench
257772,beer
227743,yes
181712,brown
213876,surfing
374613,2
192906,green
27309,yes
146956,no
296592,yes
223786,yes
46439,no
348510,yes
20194,yes
379166,men
240572,3
356206,baseball
34115,metal
87760,yes
343637,2
361730,no
361297,red
28520,yes
110496,left
259529,no
135904,3
239320,4
184896,giraffes
193794,man
226723,white
344075,chair
199743,pink
62057,0
56330,6
262234,cup
6622,softball
117900,yellow
40841,yes
85086,blue
357356,no
271810,3
304149,umbrella
344786,white
34440,2
274188,wooden
219292,no
269853,no
192053,white
4295,no
359737,yes
373758,day
122289,no
3334,no
333525,1
229687,walking
301333,no
298458,hat
241158,bedroom
13069,yes
109043,yes
204542,yes
204414,glove
107440,tan
42286,real
316535,white
346081,no
365059,yes
211029,20
281948,18
261029,yes
13281,silver
25173,3
89267,teddy bears
69535,1
7760,no
230043,no
378511,no
266171,no
366594,frisbee
284222,black and white
16420,no
33086,yes
99739,red
84750,1
128285,down
128817,standing
92713,red
184162,1
185523,wood
55525,red
109764,playing tennis
203915,yes
267991,white
373912,frisbee
67462,3
178927,phone
30951,bikes
8346,5
276338,black and white
46565,no
42433,3
201822,no
107048,1
50024,yes
235383,yes
104025,cup
145345,no
122676,right
252402,yes
213886,yes
122333,no
248948,dog
123040,person
18341,yes
135078,1
291941,giraffes
223812,8
344811,right
70937,red
44057,boots
43759,no
363030,no
139859,no
273907,no
135387,no
183207,no
203684,north
241711,no
341680,2
248299,yes
278059,white
359641,bear
376469,yes
158428,no
172912,boy
342587,yes
201074,yes
31508,yes
327710,electric
243680,yes
12269,yes
123772,summer
139851,no
216710,balance
13436,yes
207109,yes
26657,yes
198914,yes
43150,chicken
296411,tennis player
22581,yes
115062,0
162579,yes
117783,snowboard
115748,carrots
47935,yes
77576,no
17012,both
206923,brown
362254,yes
39284,blue and yellow
289984,2
335347,toy
45064,walking
141311,brown
130202,new
352850,brown
237048,no
214657,tree
217711,sun
86501,no
301646,yes
166404,beans
53825,crosswalk
188183,no
185780,soccer
6160,black
291264,yes
162376,on right
75534,bananas
222222,no
374953,yes
121924,yes
335966,yes
251088,chinese
223722,outside
1922,orange
379164,yes
221571,tray
379620,female
127382,2
222528,1
120977,9
220529,no
268708,yes
201870,ski lift
338579,lake
248145,yes
187534,3
289393,no
38442,yes
236817,3
251040,yes
267509,no
92335,yes
308918,skis
70306,1
191162,yes
210884,sunny
376196,yes
71266,no
103753,chair
158495,bat
216354,no
285406,yes
222519,yes
291389,wine
304438,yes
33740,no
12347,yes
50569,kitchen
236799,yes
387716,yes
83440,yes
70586,yes
99077,eating
21528,4
263631,pan
196873,tan
313739,tv
124300,no
361446,24
102704,yes
376039,red
94753,yellow
49759,child
347948,silver
191347,no
174566,yellow
345560,white
224963,0
345491,string
238102,green
339795,wedding
157997,yes
322244,cow
117652,birds
330710,yes
235968,birds
133173,sandwich
308050,3
207411,white
375271,black
345193,yes
88726,yes
336615,yes
362719,office
142081,yes
167163,camera
164735,3
76486,bathroom
293333,solid
41894,no
226949,no
308741,no
277613,east
292609,yes
281481,gray
35547,yes
164432,counter
32425,blue
104194,10
44648,no
56798,1
97617,no
123948,yes
297559,hat
93261,phone
254945,brown
268174,yes
61979,pot
230552,rug
63576,2
305450,no
233480,1
240333,house
134195,yes
246859,no
127786,salad
351987,kids
273105,surfing
243412,giraffe
22033,no
269204,no
178468,yes
380039,3
36055,purple
42173,bananas
121570,yes
152978,zebra
151126,blue
195918,yes
34035,no
105394,cat
239658,brown
334405,yes
223206,rain
104858,fall
74565,no
123587,no
22497,left
236881,no
149719,1
274953,suitcase
42753,no
